company_name,industry_type
서울관광마케팅,"협회·단체,광고·홍보·전시"
서울도시철도공사,"도시철도 운송업,교량, 터널 및 철도 건설업"
한화케미칼,"석유화학계 기초 화학물질 제조업,화학·에너지·환경"
신한은행,"국내은행,상호저축은행 및 기타 저축기관,은행·금융,솔루션·SI·CRM·ERP,협회·단체"
한국산업단지공단,"공기업·공공기관,시설관리·보안·경비"
한국우편사업진흥원,기타 인쇄업
도로교통안전공단,공기업·공공기관
삼화플라스틱,"금속 캔 및 기타 포장용기 제조업,그 외 자동차용 신품 부품 제조업,포장용 플라스틱 성형용기 제조업,생활화학·화장품"
국민건강보험공단,"건강 보험업,일반 병원,노인 요양 복지시설 운영업,제약·보건·바이오,방문 복지서비스 제공업"
남해화학,복합비료 및 기타 화학비료 제조업
미원상사,화학·에너지·환경
인천항만공사,"공기업·공공기관,경비 및 경호 서비스업"
코레일,"기타 음ㆍ식료품 위주 종합 소매업,승강기 제조업,음식료·외식·프랜차이즈,철도 여객 운송업"
프리드라이프,장례식장 및 장의관련 서비스업
서울과학종합대학원,"학교(초·중·고·대학·특수),"
알바이오,"제약·보건·바이오,의약용 화합물 및 항생물질 제조업,그 외 기타 식료품 제조업,,신발 도매업,의료용 기구 소매업"
스타리온,"전기용 기계.장비 및 관련 기자재 도매업,기타 가정용 전기기기 제조업"
현대오토에버,"솔루션·SI·CRM·ERP,응용 소프트웨어 개발 및 공급업,"
동원,"건물 및 구축물 해체 공사업,철물, 금속 파스너 및 수공구 도매업,직물, 편조원단 및 의복류 염색 가공업,,컴퓨터 및 주변장치, 소프트웨어 도매업,백화점·유통·도소매,기계·기계설비,자동차 차체용 신품 부품 제조업,아파트 건설업,원양 어업"
한국전력거래소,그 외 기타 분류 안된 사업지원 서비스업
키즈쉬즈한의원,제약·보건·바이오
한라고속,
남양유업,"액상시유 및 기타 낙농제품 제조업,식품가공,,낙농품 및 동.식물성 유지 도매업,음식료·외식·프랜차이즈,방문 판매업,기타 식료품 소매업"
E1,"기체연료 및 관련제품 도매업,금속 가구 제조업,경영 컨설팅업,산업용 냉장 및 냉동 장비 제조업,뉴스 제공업,배관 및 냉ㆍ난방 공사업,섬유·의류·패션,반도체·디스플레이·광학,의약품 도매업"
동부익스프레스,"일반 화물자동차 운송업,통관 대리 및 관련서비스업"
패커드코리아,자동차용 신품 동력전달장치 제조업
사립학교,"학원·어학원·교육원,공기업·공공기관,연금업,그 외 기타 분류 안된 사업지원 서비스업,교육 행정"
SK하이닉스,"발광 다이오드 제조업,기타 반도체소자 제조업,,건축·설비·환경,반도체·디스플레이·광학,광고·홍보·전시"
동화기업,"강화 및 재생 목재 제조업,골프장 운영업,,학원·어학원·교육원"
강남구건강가정지원센터,
미래에셋증권,증권 중개업
호텔 휴,
SK C&C,"그 외 기타 분류 안된 화학제품 제조업,화학·에너지·환경,기록매체 복제업,그 외 기타 전자부품 제조업,플라스틱물질 및 합성고무 도매업,증류기, 열교환기 및 가스발생기 제조업,통신.방송장비 및 부품 도매업,플라스틱 필름 제조업,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업"
IBK,"그 외 기타 여신금융업,주거용 부동산 관리업,상호저축은행 및 기타 저축기관,국내은행,증권 중개업,생명 보험업,은행·금융"
KB손해보험,"손해 보험업,,증권·보험·카드"
신한기계,"그 외 기타 기계 및 장비 도매업,인쇄 및 제책용 기계 제조업"
nhn 엔터테인먼트,매니저업
위민,"광고 대행업,회계·세무·법무,,매니저업"
LG 서브원,"그 외 기타 상품 전문 도매업,고무 의류 및 기타 위생용 비경화 고무제품 제조업"
